Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
17,20,Male,Skirt,Clothing,80,Delaware,S,Turquoise,Summer,4.4,Yes,Store Pickup,No,No,41,Debit Card,Annually
18,19,Male,Jeans,Clothing,66,Alabama,L,Turquoise,Spring,3.0,Yes,Store Pickup,Yes,No,46,Cash,Weekly
19,23,Female,Dress,Clothing,28,Delaware,XL,Violet,Spring,4.8,Yes,Free Shipping,No,Yes,3,Credit Card,Annually
20,31,Male,Dress,Clothing,53,New Hampshire,M,Violet,Fall,3.1,Yes,Express,No,No,19,Bank Transfer,Annually
21,32,Male,Jeans,Clothing,93,Delaware,S,Black,Fall,4.7,No,Free Shipping,No,No,0,Credit Card,Weekly
22,50,Female,Sweater,Clothing,25,Alabama,M,Gray,Fall,3.2,Yes,2-Day Ship,Yes,No,30,Bank Transfer,Fortnightly
23,56,Female,Shorts,Clothing,48,Oregon,S,Silver,Winter,4.3,Yes,Next Day Air,Yes,No,35,Cash,Annually
24,19,Female,Coat,Outerwear,18,Mississippi,S,Black,Spring,4.9,Yes,Express,Yes,Yes,35,Venmo,Monthly
25,53,Female,Sweater,Clothing,15,Oregon,M,Violet,Spring,2.7,No,Standard,Yes,Yes,32,PayPal,Monthly
26,30,Male,Handbag,Accessories,31,New Hampshire,S,White,Summer,2.6,No,Store Pickup,No,Yes,36,Venmo,Fortnightly
27,63,Male,Shirt,Clothing,76,Hawaii,M,Teal,Winter,4.2,Yes,Express,Yes,Yes,9,PayPal,Bi-Weekly
28,59,Male,Jeans,Clothing,87,Montana,L,Charcoal,Spring,4.3,No,Standard,No,No,24,Bank Transfer,Bi-Weekly
29,62,Female,Shorts,Clothing,68,Massachusetts,L,Violet,Fall,4.9,Yes,2-Day Ship,Yes,Yes,40,Bank Transfer,Monthly
30,52,Female,Dress,Clothing,99,Montana,L,Gold,Spring,3.5,Yes,Free Shipping,No,No,1,Cash,Bi-Weekly
31,44,Male,Sweater,Clothing,44,Rhode Island,S,Violet,Fall,2.7,Yes,Free Shipping,No,No,9,Debit Card,Monthly
32,32,Male,Blouse,Clothing,22,Delaware,M,Pink,Winter,4.5,Yes,Express,No,No,6,Cash,Monthly
33,46,Female,Skirt,Clothing,83,Missouri,L,Gold,Winter,4.7,Yes,Free Shipping,No,Yes,22,Bank Transfer,Fortnightly
34,55,Male,Sunglasses,Accessories,78,Delaware,XL,Gold,Spring,3.1,Yes,Store Pickup,Yes,Yes,24,Cash,Fortnightly
35,35,Female,Sneakers,Footwear,16,Hawaii,M,Violet,Fall,4.3,Yes,Next Day Air,No,No,32,PayPal,Monthly
36,69,Male,Shorts,Clothing,76,Louisiana,L,Violet,Winter,4.9,No,Free Shipping,Yes,Yes,4,Bank Transfer,Bi-Weekly
37,18,Female,Sweater,Clothing,31,Maine,S,Teal,Summer,3.9,No,Standard,No,Yes,30,Venmo,Annually
38,66,Female,Dress,Clothing,96,Rhode Island,XL,Gray,Spring,4.8,Yes,Store Pickup,No,No,15,Bank Transfer,Fortnightly
39,69,Male,Pants,Clothing,77,Maine,XL,Turquoise,Spring,2.9,No,Express,No,Yes,27,Venmo,Quarterly
40,28,Male,Jeans,Clothing,57,Rhode Island,L,Violet,Spring,4.6,Yes,Free Shipping,No,No,18,PayPal,Bi-Weekly
41,62,Male,Blouse,Clothing,90,Delaware,M,Charcoal,Winter,4.8,No,Standard,No,Yes,39,Venmo,Monthly
42,45,Male,Sneakers,Footwear,55,Rhode Island,S,Silver,Spring,3.5,Yes,Standard,No,No,12,Credit Card,Annually
43,39,Male,Handbag,Accessories,29,New Hampshire,S,Purple,Winter,2.9,No,Express,No,No,23,PayPal,Monthly
44,35,Female,Shorts,Clothing,33,West Virginia,S,Purple,Fall,2.9,No,Store Pickup,No,Yes,22,Bank Transfer,Bi-Weekly
45,27,Male,Sweater,Clothing,34,Missouri,S,Turquoise,Fall,3.6,No,Standard,Yes,Yes,30,Bank Transfer,Monthly
46,31,Female,Sweater,Clothing,63,Alabama,XL,Black,Spring,3.3,No,2-Day Ship,No,Yes,7,Credit Card,Weekly
47,66,Male,Jeans,Clothing,29,Hawaii,S,Black,Spring,2.6,No,Next Day Air,Yes,No,30,PayPal,Monthly
48,39,Female,Coat,Outerwear,20,New Hampshire,M,Gold,Spring,4.3,Yes,Express,No,Yes,16,Bank Transfer,Bi-Weekly
49,24,Female,Dress,Clothing,64,Montana,XL,Teal,Winter,4.3,Yes,Express,Yes,Yes,7,Debit Card,Quarterly
50,23,Female,Blouse,Clothing,45,Montana,M,Pink,Winter,4.0,Yes,Standard,No,No,33,PayPal,Fortnightly
51,42,Female,Dress,Clothing,39,Louisiana,L,Pink,Fall,2.7,No,Store Pickup,Yes,No,7,PayPal,Monthly
52,24,Female,Sneakers,Footwear,54,New Hampshire,M,Silver,Winter,3.0,Yes,Standard,No,Yes,18,Venmo,Monthly
53,40,Male,Shoes,Footwear,22,New Hampshire,M,Charcoal,Fall,3.4,No,Standard,Yes,Yes,43,Cash,Bi-Weekly
54,40,Female,Shirt,Clothing,56,Hawaii,L,White,Summer,3.0,No,Standard,Yes,Yes,40,Bank Transfer,Annually
55,56,Male,Sweater,Clothing,15,Montana,M,Teal,Fall,4.8,Yes,2-Day Ship,No,No,46,Venmo,Bi-Weekly
56,34,Female,Handbag,Accessories,29,Maine,M,White,Fall,3.9,No,2-Day Ship,No,No,28,Bank Transfer,Fortnightly
57,69,Female,Sweater,Clothing,65,Massachusetts,XL,Pink,Winter,2.9,No,Store Pickup,Yes,No,2,Cash,Weekly
58,20,Female,Sunglasses,Accessories,98,Montana,XL,Purple,Winter,2.9,No,2-Day Ship,No,No,38,PayPal,Bi-Weekly
59,64,Male,Jeans,Clothing,10,Wyoming,M,Gold,Winter,4.7,No,2-Day Ship,No,No,14,PayPal,Fortnightly
60,47,Female,Sneakers,Footwear,80,Rhode Island,M,White,Winter,3.8,No,Standard,Yes,No,8,PayPal,Weekly
61,52,Male,Dress,Clothing,41,Montana,S,Gray,Summer,4.1,No,Free Shipping,Yes,No,46,Debit Card,Quarterly
62,25,Female,Shoes,Footwear,47,Arkansas,S,Violet,Winter,4.6,Yes,Store Pickup,No,Yes,16,Credit Card,Annually
63,42,Female,Dress,Clothing,84,Rhode Island,XL,Violet,Summer,4.7,Yes,Next Day Air,Yes,No,17,Debit Card,Annually
64,23,Female,Dress,Clothing,60,Oregon,XL,White,Fall,3.4,No,Standard,No,Yes,29,Debit Card,Bi-Weekly
65,53,Female,Sandals,Footwear,82,Alabama,M,Violet,Summer,2.6,Yes,Express,No,Yes,4,Debit Card,Weekly
66,36,Male,Shorts,Clothing,41,New York,XL,Maroon,Spring,4.3,Yes,2-Day Ship,Yes,No,24,Credit Card,Weekly
67,58,Female,Pants,Clothing,11,Maine,M,White,Winter,3.2,Yes,Standard,Yes,No,45,Credit Card,Bi-Weekly
68,57,Male,Jeans,Clothing,71,New York,M,Charcoal,Summer,3.7,Yes,Standard,No,Yes,1,Credit Card,Weekly
69,41,Male,Handbag,Accessories,47,Rhode Island,XL,Turquoise,Winter,4.8,Yes,Express,No,No,9,PayPal,Fortnightly
70,54,Male,Sneakers,Footwear,38,Delaware,S,Purple,Spring,5.0,Yes,Standard,No,No,4,Cash,Monthly
71,30,Male,Sweater,Clothing,56,Massachusetts,S,Gold,Spring,2.9,No,2-Day Ship,Yes,No,9,Bank Transfer,Fortnightly
72,63,Female,Sneakers,Footwear,89,Missouri,L,Maroon,Summer,4.8,No,Free Shipping,Yes,Yes,9,Bank Transfer,Bi-Weekly
73,22,Female,Shirt,Clothing,28,Delaware,XL,Teal,Fall,4.5,Yes,2-Day Ship,No,No,9,Credit Card,Monthly
74,20,Male,Jeans,Clothing,33,Delaware,L,Silver,Fall,3.6,No,2-Day Ship,No,Yes,41,Debit Card,Quarterly
75,60,Male,Shorts,Clothing,80,Alabama,XL,Olive,Spring,3.5,No,2-Day Ship,Yes,Yes,15,PayPal,Weekly
76,32,Female,Sandals,Footwear,12,Hawaii,XL,Turquoise,Winter,2.6,No,Free Shipping,Yes,No,29,Debit Card,Annually
77,67,Female,Shorts,Clothing,41,Montana,M,Gray,Spring,2.8,Yes,Next Day Air,Yes,No,23,Credit Card,Fortnightly
78,36,Female,Sweater,Clothing,94,Massachusetts,XL,Green,Spring,2.6,No,Express,Yes,Yes,4,Credit Card,Annually
79,23,Male,Pants,Clothing,63,Oregon,M,Purple,Spring,4.4,No,Next Day Air,No,No,28,Bank Transfer,Fortnightly
80,32,Female,Blouse,Clothing,46,Rhode Island,M,Gray,Winter,4.0,Yes,2-Day Ship,Yes,Yes,25,Venmo,Fortnightly
81,24,Female,Coat,Outerwear,80,West Virginia,L,Teal,Spring,3.6,Yes,Free Shipping,Yes,No,8,Bank Transfer,Bi-Weekly
82,42,Male,Shorts,Clothing,89,Maine,M,Pink,Spring,4.6,Yes,Store Pickup,No,No,20,Bank Transfer,Fortnightly
83,35,Female,Shorts,Clothing,58,Wyoming,S,Black,Summer,4.1,Yes,Free Shipping,Yes,Yes,4,PayPal,Annually
84,47,Male,Sunglasses,Accessories,52,Kentucky,M,Charcoal,Spring,3.9,Yes,Express,Yes,No,12,Cash,Bi-Weekly
85,58,Male,Dress,Clothing,14,Louisiana,L,Maroon,Winter,3.9,No,Standard,Yes,No,5,PayPal,Weekly
86,41,Male,Shirt,Clothing,46,Delaware,M,Silver,Fall,4.3,Yes,Store Pickup,Yes,No,26,Bank Transfer,Annually
87,28,Female,Sweater,Clothing,74,Oregon,S,Gold,Fall,3.7,Yes,Free Shipping,Yes,Yes,43,Venmo,Weekly
88,41,Male,Dress,Clothing,21,Louisiana,M,Black,Spring,4.4,Yes,2-Day Ship,No,No,50,Debit Card,Monthly
89,40,Male,Sneakers,Footwear,56,New Hampshire,S,Teal,Fall,3.1,Yes,Express,No,Yes,0,Debit Card,Monthly
90,31,Male,Handbag,Accessories,21,Alabama,S,Purple,Summer,2.9,No,Express,Yes,No,36,PayPal,Monthly
91,60,Male,Sweater,Clothing,19,Wyoming,XL,Charcoal,Fall,4.9,No,Store Pickup,Yes,Yes,36,Venmo,Weekly
92,35,Male,Shirt,Clothing,46,Delaware,XL,Green,Spring,3.6,No,Free Shipping,Yes,No,32,Venmo,Monthly
93,62,Male,Dress,Clothing,15,Maine,M,Teal,Winter,2.9,Yes,Free Shipping,No,Yes,36,Venmo,Weekly
94,61,Female,Sandals,Footwear,59,New York,S,Silver,Fall,3.7,No,Standard,Yes,Yes,46,Credit Card,Quarterly
95,59,Male,Sunglasses,Accessories,65,Montana,XL,Silver,Winter,3.3,No,Express,No,Yes,17,Venmo,Weekly
96,22,Female,Handbag,Accessories,29,Alabama,M,Violet,Spring,3.3,Yes,2-Day Ship,No,Yes,23,Venmo,Quarterly
97,56,Male,Sandals,Footwear,16,Montana,S,Black,Fall,3.2,Yes,Standard,Yes,Yes,17,Venmo,Weekly
98,58,Male,Sneakers,Footwear,67,New Hampshire,M,Violet,Summer,3.0,Yes,Standard,No,No,48,PayPal,Bi-Weekly
99,28,Female,Sandals,Footwear,54,New Hampshire,XL,Purple,Spring,4.9,No,Free Shipping,No,Yes,35,Cash,Bi-Weekly
100,52,Female,Sweater,Clothing,95,Oregon,L,Violet,Summer,2.5,No,Express,No,No,7,Bank Transfer,Quarterly
101,64,Male,Sneakers,Footwear,76,Kentucky,XL,Green,Spring,4.1,Yes,Standard,Yes,Yes,26,Bank Transfer,Annually
102,33,Male,Sunglasses,Accessories,31,Delaware,M,Silver,Spring,4.9,Yes,Free Shipping,No,Yes,19,PayPal,Annually
103,28,Female,Pants,Clothing,25,Alabama,XL,Pink,Fall,3.4,No,2-Day Ship,No,Yes,11,Venmo,Quarterly
104,47,Female,Shirt,Clothing,32,Wyoming,XL,Pink,Summer,4.6,No,Store Pickup,No,Yes,5,Credit Card,Weekly
105,42,Female,Dress,Clothing,12,New Hampshire,S,Purple,Winter,4.1,Yes,Store Pickup,No,No,13,Debit Card,Quarterly
106,35,Female,Handbag,Accessories,58,Rhode Island,M,Green,Fall,4.9,No,Next Day Air,No,No,0,PayPal,Bi-Weekly
107,58,Female,Handbag,Accessories,46,West Virginia,L,Charcoal,Fall,4.2,Yes,Next Day Air,Yes,Yes,1,Debit Card,Monthly
108,62,Male,Pants,Clothing,76,Arkansas,L,Turquoise,Fall,3.1,No,Express,No,Yes,36,Venmo,Bi-Weekly
109,53,Female,Dress,Clothing,59,Wyoming,XL,Silver,Spring,3.6,Yes,Store Pickup,Yes,Yes,40,Cash,Quarterly
110,32,Male,Pants,Clothing,90,West Virginia,M,Silver,Spring,2.7,Yes,Next Day Air,Yes,Yes,1,Cash,Fortnightly
111,61,Female,Handbag,Accessories,20,Delaware,S,Teal,Spring,5.0,No,Express,Yes,Yes,19,Debit Card,Annually
112,38,Male,Pants,Clothing,41,Delaware,L,Violet,Winter,3.2,Yes,Store Pickup,Yes,Yes,7,Venmo,Annually
113,67,Male,Sweater,Clothing,23,Oregon,L,Charcoal,Spring,2.7,No,Free Shipping,Yes,No,6,Venmo,Weekly
114,67,Male,Shorts,Clothing,19,Alabama,S,White,Fall,3.4,No,Store Pickup,No,Yes,11,PayPal,Weekly
115,21,Male,Jeans,Clothing,94,Maine,S,Silver,Summer,3.7,Yes,Express,No,Yes,12,Cash,Weekly
116,32,Male,Handbag,Accessories,12,Mississippi,M,White,Summer,2.8,Yes,Standard,No,Yes,14,Credit Card,Fortnightly
117,70,Female,Skirt,Clothing,26,West Virginia,L,Purple,Spring,4.9,No,Store Pickup,No,No,47,Venmo,Quarterly
118,20,Female,Handbag,Accessories,61,Montana,L,Turquoise,Spring,4.2,No,Next Day Air,Yes,No,10,Debit Card,Fortnightly
119,69,Female,Coat,Outerwear,65,New York,XL,Gold,Summer,4.5,Yes,2-Day Ship,No,No,12,Cash,Monthly
120,38,Female,Shirt,Clothing,90,Massachusetts,XL,Turquoise,Winter,4.9,No,2-Day Ship,No,No,38,Bank Transfer,Annually
121,43,Female,Shirt,Clothing,60,Kentucky,S,Turquoise,Summer,3.6,Yes,Free Shipping,Yes,Yes,13,Bank Transfer,Monthly
122,35,Female,Shirt,Clothing,28,Arkansas,S,Gray,Summer,4.2,No,Express,No,No,14,Cash,Weekly
123,22,Female,Shorts,Clothing,46,Montana,M,Maroon,Summer,4.3,Yes,2-Day Ship,No,No,20,PayPal,Bi-Weekly
124,31,Male,Sandals,Footwear,16,Alabama,XL,Gray,Summer,3.6,Yes,Next Day Air,Yes,No,37,Venmo,Bi-Weekly
125,54,Male,Shoes,Footwear,12,Missouri,S,Violet,Winter,4.8,No,Express,No,Yes,34,Cash,Weekly
126,63,Female,Shirt,Clothing,92,Kentucky,S,Purple,Winter,4.6,No,Store Pickup,No,No,20,PayPal,Quarterly
127,38,Female,Sweater,Clothing,81,Arkansas,XL,Gold,Winter,3.5,No,Next Day Air,Yes,No,39,Credit Card,Weekly
128,31,Male,Sandals,Footwear,16,Kentucky,M,Maroon,Summer,4.7,No,Express,Yes,Yes,12,Bank Transfer,Monthly
129,59,Female,Pants,Clothing,78,Kentucky,S,Charcoal,Winter,2.8,No,Standard,No,No,44,Cash,Quarterly
130,49,Male,Sneakers,Footwear,99,Wyoming,M,Gold,Fall,2.8,No,Express,No,No,42,Credit Card,Annually
131,43,Female,Handbag,Accessories,40,Alabama,XL,Charcoal,Summer,4.4,No,Express,Yes,No,49,PayPal,Fortnightly
132,59,Female,Sweater,Clothing,55,Louisiana,M,Teal,Winter,2.7,No,Standard,Yes,Yes,42,Debit Card,Quarterly
133,47,Male,Pants,Clothing,59,Montana,XL,Maroon,Summer,3.0,No,Free Shipping,No,Yes,32,Credit Card,Bi-Weekly
134,27,Male,Sandals,Footwear,56,Delaware,XL,Green,Spring,4.5,Yes,Standard,No,No,10,Bank Transfer,Monthly
135,34,Female,Pants,Clothing,83,Rhode Island,M,Purple,Winter,4.4,Yes,Standard,No,Yes,17,Credit Card,Quarterly
136,26,Female,Dress,Clothing,77,New York,L,Charcoal,Winter,4.8,Yes,Free Shipping,No,Yes,9,Venmo,Annually
137,33,Female,Shorts,Clothing,75,Arkansas,S,Purple,Summer,3.4,Yes,Store Pickup,No,No,12,PayPal,Bi-Weekly
138,65,Male,Shorts,Clothing,32,West Virginia,XL,Olive,Fall,2.8,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
139,53,Female,Blouse,Clothing,83,West Virginia,M,Maroon,Winter,3.2,No,Next Day Air,No,Yes,14,Bank Transfer,Fortnightly
140,52,Female,Sneakers,Footwear,73,Montana,M,Black,Spring,3.4,No,Store Pickup,No,Yes,6,Debit Card,Annually
141,34,Female,Skirt,Clothing,89,Alabama,L,Green,Spring,2.9,Yes,Express,Yes,No,29,Debit Card,Weekly
142,65,Female,Dress,Clothing,70,New Hampshire,L,Gray,Spring,4.9,Yes,Express,Yes,No,30,Cash,Weekly
143,55,Female,Coat,Outerwear,41,Alabama,S,Gray,Winter,3.9,No,Express,Yes,Yes,49,Credit Card,Weekly
144,45,Male,Sneakers,Footwear,52,New York,XL,Teal,Summer,5.0,No,Store Pickup,No,No,23,Venmo,Weekly
145,55,Male,Pants,Clothing,55,Missouri,L,Olive,Fall,2.8,Yes,Express,No,Yes,42,Debit Card,Monthly
146,43,Male,Coat,Outerwear,13,Louisiana,XL,Silver,Spring,4.4,Yes,Next Day Air,Yes,No,40,Bank Transfer,Annually
147,41,Female,Coat,Outerwear,77,Wyoming,L,Violet,Summer,4.7,No,2-Day Ship,No,No,19,Debit Card,Weekly
148,32,Female,Shoes,Footwear,76,Arkansas,S,Pink,Fall,3.9,No,Free Shipping,Yes,Yes,31,Bank Transfer,Bi-Weekly
149,26,Female,Coat,Outerwear,97,Oregon,L,Gold,Spring,3.3,No,Standard,No,Yes,29,Credit Card,Bi-Weekly
150,50,Female,Sneakers,Footwear,85,Rhode Island,S,Purple,Summer,2.5,No,Store Pickup,Yes,Yes,16,Debit Card,Monthly
151,49,Female,Sneakers,Footwear,74,Oregon,S,Teal,Summer,2.9,Yes,Next Day Air,Yes,No,14,Credit Card,Quarterly
152,23,Male,Shirt,Clothing,41,Delaware,XL,Pink,Winter,4.7,No,2-Day Ship,No,Yes,36,Venmo,Fortnightly
153,66,Male,Shirt,Clothing,84,Oregon,M,Charcoal,Spring,3.5,Yes,Free Shipping,No,Yes,19,Cash,Fortnightly
154,21,Female,Coat,Outerwear,79,Wyoming,XL,Black,Fall,2.7,No,Store Pickup,No,No,29,PayPal,Quarterly
155,25,Male,Coat,Outerwear,63,New Hampshire,XL,Gray,Winter,4.9,No,Standard,Yes,No,50,Debit Card,Annually
156,27,Female,Handbag,Accessories,57,Oregon,L,Gray,Fall,2.8,Yes,Next Day Air,No,Yes,5,Credit Card,Monthly
157,58,Female,Pants,Clothing,93,Rhode Island,L,Gold,Winter,4.6,No,Store Pickup,No,Yes,7,Bank Transfer,Annually
158,28,Female,Dress,Clothing,75,Maine,M,Olive,Spring,3.9,No,Express,Yes,Yes,19,Bank Transfer,Monthly
159,68,Male,Skirt,Clothing,10,Alabama,M,Maroon,Winter,2.5,Yes,2-Day Ship,Yes,Yes,13,Credit Card,Quarterly
160,61,Male,Blouse,Clothing,74,New York,XL,Gray,Winter,3.2,No,Express,Yes,No,39,Bank Transfer,Quarterly
161,45,Male,Pants,Clothing,94,Rhode Island,XL,Turquoise,Winter,3.0,Yes,Express,Yes,No,30,PayPal,Monthly
162,56,Female,Dress,Clothing,22,Alabama,L,Violet,Summer,3.5,Yes,Next Day Air,No,No,9,Credit Card,Monthly
163,22,Female,Coat,Outerwear,25,Delaware,S,Gold,Summer,2.6,No,Standard,No,Yes,29,Bank Transfer,Quarterly
164,42,Male,Sneakers,Footwear,11,Wyoming,L,Olive,Spring,3.4,No,2-Day Ship,Yes,Yes,41,Debit Card,Monthly
165,42,Male,Dress,Clothing,82,Arkansas,XL,Teal,Spring,3.2,No,Next Day Air,Yes,No,24,Venmo,Annually
166,56,Male,Dress,Clothing,33,Mississippi,L,Turquoise,Summer,4.0,No,2-Day Ship,No,Yes,2,Credit Card,Fortnightly
167,47,Male,Jeans,Clothing,39,Rhode Island,S,Purple,Fall,3.3,Yes,Store Pickup,Yes,Yes,11,Bank Transfer,Quarterly
168,51,Male,Sunglasses,Accessories,63,Massachusetts,S,Gold,Summer,2.8,Yes,Next Day Air,No,Yes,11,PayPal,Weekly
169,34,Male,Skirt,Clothing,67,Delaware,M,Violet,Spring,3.0,No,Next Day Air,No,Yes,12,Bank Transfer,Bi-Weekly
170,53,Male,Shorts,Clothing,77,Montana,S,Gold,Winter,4.1,Yes,Express,Yes,Yes,0,PayPal,Quarterly
171,18,Male,Shoes,Footwear,79,Massachusetts,L,Turquoise,Fall,3.0,Yes,2-Day Ship,No,No,22,Cash,Annually
172,61,Female,Pants,Clothing,27,Massachusetts,XL,Pink,Fall,4.7,Yes,Express,No,Yes,7,Venmo,Bi-Weekly
173,64,Male,Blouse,Clothing,86,Arkansas,S,White,Summer,4.8,No,Next Day Air,No,Yes,10,PayPal,Weekly
174,25,Female,Handbag,Accessories,83,Louisiana,L,Pink,Winter,3.9,Yes,2-Day Ship,No,No,41,Credit Card,Weekly
175,61,Male,Shirt,Clothing,63,West Virginia,M,Silver,Winter,2.8,No,Store Pickup,Yes,Yes,31,Credit Card,Annually
176,52,Female,Shoes,Footwear,99,Maine,L,Maroon,Fall,4.0,Yes,2-Day Ship,No,Yes,17,Bank Transfer,Weekly
177,66,Female,Sweater,Clothing,14,Alabama,M,Violet,Summer,3.6,No,Express,Yes,Yes,1,Debit Card,Annually
178,35,Female,Shoes,Footwear,58,Kentucky,XL,Gray,Fall,4.4,Yes,Next Day Air,No,Yes,7,Venmo,Weekly
179,67,Female,Shoes,Footwear,57,Hawaii,M,Silver,Fall,4.8,Yes,Express,Yes,Yes,14,Venmo,Fortnightly
180,59,Male,Sunglasses,Accessories,78,Maine,S,Green,Spring,4.5,Yes,Standard,Yes,No,11,PayPal,Weekly
181,39,Male,Shirt,Clothing,54,Louisiana,L,Turquoise,Fall,3.7,Yes,Store Pickup,Yes,Yes,16,Cash,Bi-Weekly
182,25,Male,Coat,Outerwear,100,Hawaii,M,Purple,Summer,4.9,No,Store Pickup,Yes,No,20,Bank Transfer,Annually
183,36,Female,Handbag,Accessories,23,Maine,L,Pink,Fall,3.2,Yes,Express,Yes,No,47,Cash,Bi-Weekly
184,45,Female,Sweater,Clothing,57,Oregon,S,White,Fall,4.1,No,Standard,Yes,No,2,PayPal,Monthly
185,28,Female,Shoes,Footwear,59,Missouri,S,Gray,Summer,4.6,No,Next Day Air,Yes,No,24,Venmo,Weekly
186,47,Male,Sandals,Footwear,36,Delaware,M,Violet,Fall,3.8,No,Standard,No,Yes,38,PayPal,Monthly
187,18,Female,Sunglasses,Accessories,85,Montana,S,Silver,Fall,4.7,Yes,Standard,No,No,34,Venmo,Quarterly
188,64,Female,Shoes,Footwear,82,Mississippi,L,Turquoise,Fall,3.7,Yes,Express,Yes,No,43,PayPal,Weekly
189,64,Female,Sandals,Footwear,79,Missouri,L,Gold,Fall,2.6,No,Free Shipping,No,No,50,Bank Transfer,Annually
190,34,Male,Blouse,Clothing,25,Missouri,L,Green,Summer,4.6,No,Next Day Air,Yes,No,0,Venmo,Weekly
191,50,Female,Shirt,Clothing,71,Montana,XL,Gray,Winter,3.2,No,Standard,No,Yes,16,PayPal,Monthly
192,66,Male,Pants,Clothing,73,Oregon,M,Violet,Spring,2.9,Yes,Express,Yes,Yes,11,Bank Transfer,Annually
193,29,Female,Pants,Clothing,66,Arkansas,S,Olive,Spring,2.7,No,Free Shipping,Yes,No,34,Bank Transfer,Weekly
194,50,Male,Shoes,Footwear,40,Hawaii,S,Maroon,Fall,2.8,Yes,Express,Yes,No,36,PayPal,Fortnightly
195,24,Female,Shorts,Clothing,19,New Hampshire,L,Turquoise,Winter,3.3,No,Free Shipping,No,No,30,PayPal,Annually
196,58,Male,Blouse,Clothing,30,Hawaii,S,Charcoal,Spring,4.8,Yes,Standard,Yes,No,32,Bank Transfer,Fortnightly
197,37,Male,Handbag,Accessories,84,Hawaii,M,Pink,Winter,4.1,Yes,Next Day Air,Yes,Yes,14,Cash,Annually
198,58,Male,Shoes,Footwear,90,New Hampshire,S,Green,Winter,4.0,No,Free Shipping,No,Yes,36,PayPal,Bi-Weekly
199,50,Male,Shirt,Clothing,41,Hawaii,M,Purple,Summer,4.4,Yes,Store Pickup,Yes,No,46,Venmo,Monthly
200,56,Male,Sweater,Clothing,55,Mississippi,S,Silver,Fall,4.0,No,Next Day Air,Yes,Yes,34,Debit Card,Quarterly
201,30,Male,Dress,Clothing,84,Oregon,L,Black,Summer,3.4,Yes,Standard,No,No,32,Debit Card,Annually
202,27,Female,Coat,Outerwear,90,Montana,M,Purple,Winter,2.9,No,Free Shipping,No,Yes,8,Credit Card,Quarterly
203,41,Female,Blouse,Clothing,98,Wyoming,S,Turquoise,Fall,4.8,No,Express,No,Yes,45,PayPal,Weekly
204,66,Male,Shirt,Clothing,53,Rhode Island,S,Maroon,Summer,4.9,No,Store Pickup,No,No,18,Venmo,Fortnightly
205,28,Male,Jeans,Clothing,33,Mississippi,S,Turquoise,Winter,4.0,No,Store Pickup,No,No,20,Venmo,Bi-Weekly
